"Kingston","Bedelsford School","https://www.compare-school-performance.service.gov.uk/school/142687",,"88","2 to 19","Mixed","Academy  - Converter Special School","Grange Road, Kingston upon Thames, KT1 2QZ",,,
"Kingston","St Paul's CofE Primary School, Kingston Hill","https://www.compare-school-performance.service.gov.uk/school/102591",,"360","4 to 11","Mixed","Voluntary Aided School","Princes Road, Kingston upon Thames, KT2 6AZ",,,
"Kingston","Hampton Wick Infant and Nursery School","https://www.compare-school-performance.service.gov.uk/school/102889",,"288","5 to 7","Mixed","Community School","Normansfield Avenue, Teddington, TW11 9RP",,,
"Kingston","Latchmere School","https://www.compare-school-performance.service.gov.uk/school/138689",,"914","3 to 11","Mixed","Academy - Converter Mainstream","Latchmere Road, Kingston upon Thames, KT2 5TT",,,
"Kingston","Fern Hill Primary School","https://www.compare-school-performance.service.gov.uk/school/131097",,"681","3 to 11","Mixed","Community School","Richmond Road, Kingston upon Thames, KT2 5PE",,,
"Kingston","Tiffin School","https://www.compare-school-performance.service.gov.uk/school/136910",,"1156","11 to 18","Boys","Academy - Converter Mainstream","Queen Elizabeth Road, Kingston upon Thames, KT2 6RL",,,
"Kingston","Alexandra School","https://www.compare-school-performance.service.gov.uk/school/102578",,"369","3 to 9","Mixed","Community School","Alexandra Road, Kingston upon Thames, KT2 6SE",,,
"Kingston","The Tiffin Girls' School","https://www.compare-school-performance.service.gov.uk/school/136615",,"996","11 to 18","Girls","Academy - Converter Mainstream","Richmond Road, Kingston upon Thames, KT2 5PL",,,
"Kingston","St Luke's CofE Primary School","https://www.compare-school-performance.service.gov.uk/school/102604",,"321","3 to 11","Mixed","Foundation School","Acre Road, Kingston upon Thames, KT2 6EN",,,
"Richmond","St Elizabeth's Catholic Primary School","https://www.compare-school-performance.service.gov.uk/school/102910",,"299","4 to 11","Mixed","Voluntary Aided School","Queen's Road, Richmond, TW10 6HN",,,
"Richmond","Holy Trinity Church of England Primary School","https://www.compare-school-performance.service.gov.uk/school/102908",,"491","3 to 11","Mixed","Voluntary Aided School","Carrington Road, Richmond, TW10 5AA",,,
"Richmond","Marshgate Primary School","https://www.compare-school-performance.service.gov.uk/school/133728",,"476","4 to 11","Mixed","Community School","157 Queens Road, Richmond, TW10 6HY",,,
"Richmond","Orleans Primary School","https://www.compare-school-performance.service.gov.uk/school/102895",,"468","3 to 11","Mixed","Community School","Hartington Road, Twickenham, TW1 3EN",,,
"Richmond","The Vineyard School","https://www.compare-school-performance.service.gov.uk/school/102906",,"538","4 to 11","Mixed","Community School","Friars Stile Road, Richmond, TW10 6NE",,,
"Wimbledon","Dundonald Primary School","https://www.compare-school-performance.service.gov.uk/school/102628",,"341","3 to 11","Mixed","Community School","Dundonald Road, London, SW19 3QH",,,
"Wimbledon","St Mary's Catholic Primary School","https://www.compare-school-performance.service.gov.uk/school/102670",,"436","3 to 11","Mixed","Voluntary Aided School","Russell Road, London, SW19 1QL",,,
"Wimbledon","Bishop Gilpin CofE Primary School","https://www.compare-school-performance.service.gov.uk/school/102666",,"539","3 to 11","Mixed","Voluntary Aided School","Lake Road, London, SW19 7EP",,,
"Wimbledon","Rutlish School","https://www.compare-school-performance.service.gov.uk/school/102679",,"1261","11 to 19","Boys","Voluntary Controlled School","Watery Lane, London, SW20 9AD",,,
"Wimbledon","Ursuline High School Wimbledon","https://www.compare-school-performance.service.gov.uk/school/102683",,"1363","11 to 18","Girls","Voluntary Aided School","Crescent Road, London, SW20 8HA",,,
"Wimbledon","Wimbledon Chase Primary School","https://www.compare-school-performance.service.gov.uk/school/102662",,"739","3 to 11","Mixed","Community School","Merton Hall Road, London, SW19 3QB",,,
"Wandsworth","Honeywell Infant School","https://www.compare-school-performance.service.gov.uk/school/101012",,"325","3 to 7","Mixed","Foundation School","Honeywell Road, London, SW11 6EF",,,
"Wandsworth","Honeywell Junior School","https://www.compare-school-performance.service.gov.uk/school/101011",,"359","7 to 11","Mixed","Foundation School","Honeywell Road, London, SW11 6EF",,,
"Wandsworth","Belleville Primary School","https://www.compare-school-performance.service.gov.uk/school/137563",,"908","3 to 11","Mixed","Academy - Converter Mainstream","Belleville Road, London, SW11 6PR",,,
"Hammersmith","Brackenbury Primary School","https://www.compare-school-performance.service.gov.uk/school/100324",,"483","3 to 11","Mixed","Community School","Dalling Road, London, W6 0BA",,,
"Hammersmith","Larmenier & Sacred Heart Catholic Primary School","https://www.compare-school-performance.service.gov.uk/school/134009",,"463","3 to 11","Mixed","Voluntary Aided School","41a Brook Green, London, W6 7BL",,,
"Hammersmith","Melcombe Primary School","https://www.compare-school-performance.service.gov.uk/school/100334",,"407","2 to 11","Mixed","Community School","Fulham Palace Road, London, W6 9ER",,,
"Hammersmith","Sacred Heart High School","https://www.compare-school-performance.service.gov.uk/school/137935",,"960","11 to 19","Girls","Academy - Converter Mainstream","212 Hammersmith Road, London, W6 7DG",,,
"Hammersmith","St Paul's CofE Primary School","https://www.compare-school-performance.service.gov.uk/school/100351",,"232","3 to 11","Mixed","Voluntary Aided School","Worlidge Street, London, W6 9BP",,,
"Hammersmith","John Betts Primary School","https://www.compare-school-performance.service.gov.uk/school/100346",,"238","5 to 11","Mixed","Voluntary Aided School","Paddenswick Road, London, W6 0UA",,,
"Hammersmith","St Augustine's RC Primary School","https://www.compare-school-performance.service.gov.uk/school/100347",,"211","5 to 11","Mixed","Voluntary Aided School","Disbrowe Road, London, W6 8QE",,,
"Hammersmith","Miles Coverdale Primary School","https://www.compare-school-performance.service.gov.uk/school/100326",,"242","3 to 11","Mixed","Community School","Coverdale Road, London, W12 8JJ",,,
"Hammersmith","Earl's Court Free School Primary","https://www.compare-school-performance.service.gov.uk/school/140811",,"87","4 to 11","Mixed","Free School - Mainstream","Cambridge Grove, London, W6 0LB",,,
"Hammersmith","St Peter's Primary School","https://www.compare-school-performance.service.gov.uk/school/100352",,"211","4 to 11","Mixed","Voluntary Aided School","St Peter's Road, London, W6 9BA",,,
"Hammersmith","West London Free School Primary","https://www.compare-school-performance.service.gov.uk/school/139546",,"240","4 to 11","Mixed","Free School - Mainstream","Cambridge Grove, London, W6 0LB",,,
"Hammersmith","Fulham Cross Girls' School and Language College","https://www.compare-school-performance.service.gov.uk/school/139365",,"604","11 to 16","Girls","Academy - Converter Mainstream","Munster Road, London, SW6 6BP",,,
"Westminster","Soho Parish CofE Primary School","https://www.compare-school-performance.service.gov.uk/school/101131",,"174","4 to 11","Mixed","Voluntary Aided School","23 Great Windmill Street, London, W1D 7LF",,,
"Westminster","Pimlico Primary","https://www.compare-school-performance.service.gov.uk/school/139898",,"137","5 to 11","Mixed","Free School - Mainstream","Lupus Street, London, SW1V 3AT",,,
"Westminster","The Grey Coat Hospital","https://www.compare-school-performance.service.gov.uk/school/138313",,"1050","11 to 18","Girls","Academy - Converter Mainstream","Greycoat Place, London, SW1P 2DY",,,
"Westminster","King's College London Maths School","https://www.compare-school-performance.service.gov.uk/school/140564",,"129","16 to 19","Mixed","Free School  16-19","80 Kennington Road, London, SE11 6NJ",,,
"Westminster","Harris Westminster Sixth Form","https://www.compare-school-performance.service.gov.uk/school/140939",,"371","16 to 19","Mixed","Free School  16-19","Steel House, 11 Tothill Street, London, SW1H 9LH",,,
"Westminster","St Peter's Eaton Square CofE Primary School","https://www.compare-school-performance.service.gov.uk/school/101140",,"304","3 to 11","Mixed","Voluntary Aided School","Lower Belgrave Street, London, SW1W 0NL",,,
"Westminster","Millbank Academy","https://www.compare-school-performance.service.gov.uk/school/138683",,"406","3 to 11","Mixed","Academy - Converter Mainstream","Erasmus Street, London, SW1P 4HR",,,
"Westminster","Oasis Academy South Bank","https://www.compare-school-performance.service.gov.uk/school/139659",,"359","11 to 16","Mixed","Free School - Mainstream","75 Westminster Bridge Road, London, SE1 7HS",,,
"Westminster","Pimlico Academy","https://www.compare-school-performance.service.gov.uk/school/135676",,"1202","11 to 19","Mixed","Academy Sponsor Led Mainstream","Lupus Street, London, SW1V 3AT",,,
"Westminster","Evelina Hospital School","https://www.compare-school-performance.service.gov.uk/school/100875",,"--(opens a popup)","2 to 19","Mixed","Community Special School","Westminster Bridge Road, London, SE1 7EH",,,
"Kensington+%26+Chelsea","The Cardinal Vaughan Memorial RC School","https://www.compare-school-performance.service.gov.uk/school/141931",,"949","11 to 18","Boys","Academy - Converter Mainstream","89 Addison Road, London, W14 8BZ",,,
"Kensington+%26+Chelsea","Our Lady of Victories RC Primary School","https://www.compare-school-performance.service.gov.uk/school/100504",,"237","3 to 11","Mixed","Voluntary Aided School","Clareville Street, London, SW7 5AQ",,,
"Kensington+%26+Chelsea","Fox Primary School","https://www.compare-school-performance.service.gov.uk/school/100482",,"337","4 to 11","Mixed","Community School","Kensington Place, London, W8 7PP",,,
"Kensington+%26+Chelsea","Holland Park School","https://www.compare-school-performance.service.gov.uk/school/140134",,"1364","11 to 18","Mixed","Academy - Converter Mainstream","Airlie Gardens, London, W8 7AF",,,
"Kensington+%26+Chelsea","Bousfield Primary School","https://www.compare-school-performance.service.gov.uk/school/100480",,"437","3 to 11","Mixed","Community School","South Bolton Gardens, London, SW5 0DJ",,,
"Kensington+%26+Chelsea","St Barnabas and St Philip's CofE Primary School","https://www.compare-school-performance.service.gov.uk/school/100493",,"208","5 to 11","Mixed","Voluntary Aided School","58 Earls Court Road, London, W8 6EJ",,,
"Sutton","Westbourne Primary School","https://www.compare-school-performance.service.gov.uk/school/136796",,"531","3 to 11","Mixed","Academy - Converter Mainstream","Anton Crescent, Sutton, SM1 2NT",,,
"Sutton","Manor Park Primary School","https://www.compare-school-performance.service.gov.uk/school/102976",,"589","3 to 11","Mixed","Community School","Greyhound Road, Sutton, SM1 4AW",,,
"Sutton","Sutton Grammar School","https://www.compare-school-performance.service.gov.uk/school/136787",,"869","11 to 18","Boys","Academy - Converter Mainstream","Manor Lane, Sutton, SM1 4AS",,,
"Sutton","Robin Hood Infants' School","https://www.compare-school-performance.service.gov.uk/school/102981",,"270","5 to 7","Mixed","Community School","Robin Hood Lane, Sutton, SM1 2SF",,,
"Luton","Hillborough Junior School","https://www.compare-school-performance.service.gov.uk/school/109578",,"361","7 to 11","Mixed","Community School","Hillborough Road, Luton, LU1 5EZ",,,
"Luton","Tennyson Road Primary School","https://www.compare-school-performance.service.gov.uk/school/109557",,"441","4 to 11","Mixed","Community School","Tennyson Road, Luton, LU1 3RS",,,
"Luton","Richmond Hill School","https://www.compare-school-performance.service.gov.uk/school/109743",,"149","5 to 11","Mixed","Community Special School","Sunridge Avenue, Luton, LU2 7JL",,,
"Luton","Denbigh High School","https://www.compare-school-performance.service.gov.uk/school/136319",,"1128","11 to 16","Mixed","Academy - Converter Mainstream","Alexandra Avenue, Luton, LU3 1HE",,,
